1175,125,1
125,1462,1
1462,448,1
448,1401,1
1401,319,1
319,1591,1
1591,836,1
836,1574,1
1574,929,1
929,785,1
785,567,1
567,1595,1
1597,568,1
568,786,1
786,932,1
932,1575,1
1575,837,1
837,1592,1
1592,320,1
320,1402,1
1402,449,1
449,1463,1
1463,127,1
127,1175,1
2396,609,106
609,1247,106
1247,485,106
485,289,106
289,301,106
301,1941,106
1941,1730,106
1730,1551,106
1551,1197,106
1197,2432,106
2432,62,106
62,1195,106
1195,965,106
965,964,106
964,966,106
966,1196,106
1196,63,106
63,2433,106
2433,1198,106
1198,1552,106
1552,1731,106
1731,1942,106
1942,302,106
302,290,106
290,486,106
486,1245,106
1245,608,106
608,808,106
808,2397,106
2397,2396,106
40,818,107
818,630,107
630,1623,107
1623,1225,107
1225,986,107
986,303,107
303,1393,107
1393,1146,107
1146,1866,107
1866,2295,107
2295,1688,107
1688,542,107
542,1540,107
1540,816,107
816,977,107
977,2050,107
2050,2187,107
2187,1415,107
1415,2459,107
2459,1302,107
1302,273,107
273,2370,107
2370,1746,107
1746,1217,107
1217,198,107
199,1219,107
1219,1747,107
1747,2371,107
2371,272,107
272,1303,107
1303,1922,107
1922,339,107
339,1147,107
1147,1392,107
1392,304,107
304,511,107
511,631,107
631,819,107
819,40,107
115,2099,10M
2099,1335,10M
1335,413,10M
413,875,10M
875,1883,10M
1883,1240,10M
1240,1034,10M
1034,530,10M
530,1644,10M
1644,1286,10M
1286,2225,10M
2225,791,10M
791,1792,10M
1792,1395,10M
1395,780,10M
780,2175,10M
2175,478,10M
478,661,10M
661,2070,10M
2070,809,10M
809,2205,10M
2205,832,10M
832,1138,10M
1138,1532,10M
1532,2085,10M
2085,1427,10M
1427,2395,10M
2395,2410,10M
2410,2394,10M
2394,1428,10M
1428,2086,10M
2086,1531,10M
1531,1139,10M
1139,833,10M
833,2206,10M
2206,810,10M
810,2069,10M
2069,660,10M
660,477,10M
477,2176,10M
2176,781,10M
781,168,10M
168,1218,10M
1218,1644,10M
1644,1286,10M
1286,1095,10M
1095,529,10M
529,1035,10M
1035,1241,10M
1241,1884,10M
1884,876,10M
876,796,10M
796,153,10M
153,412,10M
412,1777,10M
1777,34,10M
34,115,10M
1127,868,11M
868,913,11M
913,910,11M
910,614,11M
614,1186,11M
1186,735,11M
735,587,11M
587,1131,11M
1131,1823,11M
1823,1025,11M
1025,2355,11M
2355,116,11M
116,2098,11M
2098,1335,11M
1335,413,11M
413,875,11M
875,1883,11M
1883,1240,11M
1240,1034,11M
1034,2349,11M
2349,774,11M
774,806,11M
806,1492,11M
1492,182,11M
182,557,11M
557,419,11M
419,1341,11M
1341,575,11M
575,99,11M
99,2025,11M
2025,1867,11M
1868,2026,11M
2026,1292,11M
1292,574,11M
574,576,11M
576,2002,11M
2002,181,11M
181,1491,11M
1491,807,11M
807,775,11M
775,2350,11M
2350,1094,11M
1094,1033,11M
1033,876,11M
876,796,11M
796,153,11M
153,412,11M
412,1777,11M
1777,33,11M
33,2351,11M
2351,1024,11M
1024,1822,11M
1822,1132,11M
1132,586,11M
586,736,11M
736,1185,11M
1185,1193,11M
1193,1191,11M
1191,1145,11M
1145,2242,11M
2242,1183,11M
1183,1127,11M
32,1796,12M
1796,1043,12M
1043,537,12M
537,1120,12M
1120,1580,12M
1580,1800,12M
1800,1236,12M
1236,1047,12M
1047,508,12M
508,1203,12M
1203,207,12M
207,473,12M
473,15,12M
15,811,12M
811,1296,12M
1296,1293,12M
1293,2309,12M
2309,1433,12M
1433,1805,12M
1805,1341,12M
1341,576,12M
576,2002,12M
2002,181,12M
181,1983,12M
1983,1115,12M
1115,113,12M
113,1362,12M
1362,1073,12M
1073,2304,12M
2304,1176,12M
1176,2223,12M
2223,690,12M
690,1294,12M
1294,2173,12M
2174,1295,12M
1295,691,12M
691,2224,12M
2224,381,12M
381,2300,12M
2300,138,12M
138,2416,12M
2416,1177,12M
1177,2305,12M
2305,1074,12M
1074,1363,12M
1363,114,12M
114,1116,12M
1116,1984,12M
1984,183,12M
183,557,12M
557,419,12M
419,1343,12M
1343,1806,12M
1806,1434,12M
1434,487,12M
487,1297,12M
1297,108,12M
108,16,12M
16,474,12M
